start,end,paper,dataname,method,n_samples,n_neighbors,1-NN,Trustworthiness,Continuity
,,comparative,helix,pca,2000,5,0.37,0.763,0.984
,,comparative,helix,pca,2000,7,0.37,0.764,0.983
,,comparative,helix,pca,2000,10,0.37,0.763,0.981
,,comparative,helix,pca,2000,6,0.37,0.765,0.983
,,comparative,helix,pca,2000,8,0.37,0.763,0.982
,,comparative,helix,pca,2000,12,0.37,0.763,0.98
,,comparative,helix,pca,2000,9,0.37,0.763,0.982
,,comparative,helix,pca,2000,11,0.37,0.763,0.981
,,comparative,helix,pca,2000,13,0.37,0.763,0.98
,,comparative,helix,pca,2000,14,0.37,0.764,0.98
,,comparative,helix,pca,2000,15,0.37,0.764,0.979
,,comparative,helix,pca,2000,5,0.37,0.763,0.984
,,comparative,helix,pca,2000,7,0.37,0.764,0.983
,,comparative,helix,pca,2000,10,0.37,0.763,0.981
,,comparative,helix,pca,2000,6,0.37,0.765,0.983
,,comparative,helix,pca,2000,8,0.37,0.763,0.982
,,comparative,helix,pca,2000,12,0.37,0.763,0.98
,,comparative,helix,pca,2000,9,0.37,0.763,0.982
,,comparative,helix,pca,2000,11,0.37,0.763,0.981
,,comparative,helix,pca,2000,13,0.37,0.763,0.98
,,comparative,helix,pca,2000,14,0.37,0.764,0.98
,,comparative,helix,pca,2000,15,0.37,0.764,0.979
,,comparative,twinpeaks,pca,2000,6,0.001,0.983,0.992
,,comparative,twinpeaks,pca,2000,5,0.001,0.984,0.993
,,comparative,twinpeaks,pca,2000,7,0.001,0.982,0.992
,,comparative,twinpeaks,pca,2000,10,0.001,0.979,0.991
,,comparative,twinpeaks,pca,2000,8,0.001,0.981,0.991
,,comparative,twinpeaks,pca,2000,9,0.001,0.98,0.991
,,comparative,twinpeaks,pca,2000,11,0.001,0.979,0.99
,,comparative,twinpeaks,pca,2000,12,0.001,0.978,0.99
,,comparative,twinpeaks,pca,2000,13,0.001,0.977,0.99
,,comparative,twinpeaks,pca,2000,14,0.001,0.976,0.99
,,comparative,twinpeaks,pca,2000,15,0.001,0.975,0.989
,,comparative,twinpeaks,pca,2000,6,0.001,0.983,0.992
,,comparative,twinpeaks,pca,2000,5,0.001,0.984,0.993
,,comparative,twinpeaks,pca,2000,7,0.001,0.982,0.992
,,comparative,twinpeaks,pca,2000,10,0.001,0.979,0.991
,,comparative,twinpeaks,pca,2000,8,0.001,0.981,0.991
,,comparative,twinpeaks,pca,2000,9,0.001,0.98,0.991
,,comparative,twinpeaks,pca,2000,11,0.001,0.979,0.99
,,comparative,twinpeaks,pca,2000,12,0.001,0.978,0.99
,,comparative,twinpeaks,pca,2000,13,0.001,0.977,0.99
,,comparative,twinpeaks,pca,2000,14,0.001,0.976,0.99
,,comparative,twinpeaks,pca,2000,15,0.001,0.975,0.989
,,comparative,broken.swiss,pca,2000,8,0.257,0.954,0.995
,,comparative,broken.swiss,pca,2000,6,0.257,0.956,0.996
,,comparative,broken.swiss,pca,2000,5,0.257,0.956,0.996
,,comparative,broken.swiss,pca,2000,10,0.257,0.952,0.994
,,comparative,broken.swiss,pca,2000,9,0.257,0.953,0.995
,,comparative,broken.swiss,pca,2000,11,0.257,0.952,0.994
,,comparative,broken.swiss,pca,2000,12,0.257,0.951,0.993
,,comparative,broken.swiss,pca,2000,7,0.257,0.954,0.995
,,comparative,broken.swiss,pca,2000,14,0.257,0.95,0.992
,,comparative,broken.swiss,pca,2000,15,0.257,0.95,0.992
,,comparative,broken.swiss,pca,2000,13,0.257,0.951,0.993
,,comparative,broken.swiss,pca,2000,8,0.257,0.954,0.995
,,comparative,broken.swiss,pca,2000,6,0.257,0.956,0.996
,,comparative,broken.swiss,pca,2000,5,0.257,0.956,0.996
,,comparative,broken.swiss,pca,2000,10,0.257,0.952,0.994
,,comparative,broken.swiss,pca,2000,9,0.257,0.953,0.995
,,comparative,broken.swiss,pca,2000,11,0.257,0.952,0.994
,,comparative,broken.swiss,pca,2000,12,0.257,0.951,0.993
,,comparative,broken.swiss,pca,2000,7,0.257,0.954,0.995
,,comparative,broken.swiss,pca,2000,14,0.257,0.95,0.992
,,comparative,broken.swiss,pca,2000,15,0.257,0.95,0.992
,,comparative,broken.swiss,pca,2000,13,0.257,0.951,0.993
,,comparative,swiss,pca,2000,5,0.298,0.876,0.995
,,comparative,swiss,pca,2000,8,0.298,0.877,0.993
,,comparative,swiss,pca,2000,6,0.298,0.876,0.994
,,comparative,swiss,pca,2000,7,0.298,0.877,0.994
,,comparative,swiss,pca,2000,9,0.298,0.876,0.992
,,comparative,swiss,pca,2000,14,0.298,0.877,0.989
,,comparative,swiss,pca,2000,10,0.298,0.877,0.992
,,comparative,swiss,pca,2000,11,0.298,0.877,0.991
,,comparative,swiss,pca,2000,12,0.298,0.877,0.991
,,comparative,swiss,pca,2000,13,0.298,0.877,0.99
,,comparative,swiss,pca,2000,15,0.298,0.877,0.989
,,comparative,swiss,pca,2000,5,0.298,0.876,0.995
,,comparative,swiss,pca,2000,8,0.298,0.877,0.993
,,comparative,swiss,pca,2000,6,0.298,0.876,0.994
,,comparative,swiss,pca,2000,7,0.298,0.877,0.994
,,comparative,swiss,pca,2000,9,0.298,0.876,0.992
,,comparative,swiss,pca,2000,14,0.298,0.877,0.989
,,comparative,swiss,pca,2000,10,0.298,0.877,0.992
,,comparative,swiss,pca,2000,11,0.298,0.877,0.991
,,comparative,swiss,pca,2000,12,0.298,0.877,0.991
,,comparative,swiss,pca,2000,13,0.298,0.877,0.99
,,comparative,swiss,pca,2000,15,0.298,0.877,0.989
,,comparative,orl,pca,2000,5,0.263,0.954,0.899
,,comparative,orl,pca,2000,6,0.263,0.95,0.889
,,comparative,orl,pca,2000,8,0.263,0.94,0.872
,,comparative,orl,pca,2000,7,0.263,0.945,0.88
,,comparative,orl,pca,2000,10,0.263,0.93,0.86
,,comparative,orl,pca,2000,9,0.263,0.936,0.866
,,comparative,orl,pca,2000,12,0.263,0.921,0.852
,,comparative,orl,pca,2000,13,0.263,0.917,0.849
,,comparative,orl,pca,2000,11,0.263,0.925,0.856
,,comparative,orl,pca,2000,14,0.263,0.913,0.845
,,comparative,orl,pca,2000,15,0.263,0.908,0.842
,,comparative,orl,pca,2000,5,0.263,0.954,0.899
,,comparative,orl,pca,2000,6,0.263,0.95,0.889
,,comparative,orl,pca,2000,8,0.263,0.94,0.872
,,comparative,orl,pca,2000,7,0.263,0.945,0.88
,,comparative,orl,pca,2000,10,0.263,0.93,0.86
,,comparative,orl,pca,2000,9,0.263,0.936,0.866
,,comparative,orl,pca,2000,12,0.263,0.921,0.852
,,comparative,orl,pca,2000,13,0.263,0.917,0.849
,,comparative,orl,pca,2000,11,0.263,0.925,0.856
,,comparative,orl,pca,2000,14,0.263,0.913,0.845
,,comparative,orl,pca,2000,15,0.263,0.908,0.842
,,comparative,difficult,pca,2000,6,0.408,0.995,0.987
,,comparative,difficult,pca,2000,8,0.408,0.994,0.985
,,comparative,difficult,pca,2000,7,0.408,0.994,0.986
,,comparative,difficult,pca,2000,5,0.408,0.995,0.988
,,comparative,difficult,pca,2000,11,0.408,0.993,0.983
,,comparative,difficult,pca,2000,10,0.408,0.993,0.984
,,comparative,difficult,pca,2000,13,0.408,0.992,0.981
,,comparative,difficult,pca,2000,14,0.408,0.992,0.98
,,comparative,difficult,pca,2000,9,0.408,0.994,0.984
,,comparative,difficult,pca,2000,12,0.408,0.993,0.982
,,comparative,difficult,pca,2000,15,0.408,0.992,0.98
,,comparative,difficult,pca,2000,6,0.408,0.995,0.987
,,comparative,difficult,pca,2000,8,0.408,0.994,0.985
,,comparative,difficult,pca,2000,7,0.408,0.994,0.986
,,comparative,difficult,pca,2000,5,0.408,0.995,0.988
,,comparative,difficult,pca,2000,11,0.408,0.993,0.983
,,comparative,difficult,pca,2000,10,0.408,0.993,0.984
,,comparative,difficult,pca,2000,13,0.408,0.992,0.981
,,comparative,difficult,pca,2000,14,0.408,0.992,0.98
,,comparative,difficult,pca,2000,9,0.408,0.994,0.984
,,comparative,difficult,pca,2000,12,0.408,0.993,0.982
,,comparative,difficult,pca,2000,15,0.408,0.992,0.98
,,comparative,orl,isomap,2000,5,0.15,0.975,0.996
,,comparative,orl,isomap,2000,6,0.147,0.976,0.993
,,comparative,orl,isomap,2000,8,0.165,0.965,0.987
,,comparative,orl,isomap,2000,7,0.177,0.97,0.99
,,comparative,orl,isomap,2000,9,0.17,0.965,0.986
,,comparative,orl,isomap,2000,11,0.185,0.958,0.981
,,comparative,orl,isomap,2000,10,0.19,0.958,0.983
,,comparative,orl,isomap,2000,12,0.163,0.958,0.98
,,comparative,orl,isomap,2000,13,0.212,0.958,0.978
,,comparative,orl,isomap,2000,15,0.195,0.956,0.976
,,comparative,orl,isomap,2000,14,0.18,0.958,0.979
,,comparative,orl,isomap,2000,5,0.15,0.975,0.996
,,comparative,orl,isomap,2000,6,0.147,0.976,0.993
,,comparative,orl,isomap,2000,8,0.165,0.965,0.987
,,comparative,orl,isomap,2000,7,0.177,0.97,0.99
,,comparative,orl,isomap,2000,9,0.17,0.965,0.986
,,comparative,orl,isomap,2000,11,0.185,0.958,0.981
,,comparative,orl,isomap,2000,10,0.19,0.958,0.983
,,comparative,orl,isomap,2000,12,0.163,0.958,0.98
,,comparative,orl,isomap,2000,13,0.212,0.958,0.978
,,comparative,orl,isomap,2000,15,0.195,0.956,0.976
,,comparative,orl,isomap,2000,14,0.18,0.958,0.979
,,comparative,helix,isomap,2000,6,0.01,1.0,1.0
,,comparative,helix,isomap,2000,7,0.349,0.732,0.997
,,comparative,helix,isomap,2000,9,0.142,0.734,0.997
,,comparative,helix,isomap,2000,10,0.141,0.732,0.997
,,comparative,helix,isomap,2000,8,0.42,0.733,0.998
,,comparative,helix,isomap,2000,11,0.23,0.736,0.997
,,comparative,helix,isomap,2000,12,0.293,0.737,0.997
,,comparative,helix,isomap,2000,13,0.156,0.735,0.997
,,comparative,helix,isomap,2000,14,0.376,0.735,0.997
,,comparative,helix,isomap,2000,5,0.01,1.0,1.0
,,comparative,helix,isomap,2000,15,0.191,0.737,0.997
,,comparative,helix,isomap,2000,6,0.01,1.0,1.0
,,comparative,helix,isomap,2000,7,0.349,0.732,0.997
,,comparative,helix,isomap,2000,9,0.142,0.734,0.997
,,comparative,helix,isomap,2000,10,0.141,0.732,0.997
,,comparative,helix,isomap,2000,8,0.42,0.733,0.998
,,comparative,helix,isomap,2000,11,0.23,0.736,0.997
,,comparative,helix,isomap,2000,12,0.293,0.737,0.997
,,comparative,helix,isomap,2000,13,0.156,0.735,0.997
,,comparative,helix,isomap,2000,14,0.376,0.735,0.997
,,comparative,helix,isomap,2000,5,0.01,1.0,1.0
,,comparative,helix,isomap,2000,15,0.191,0.737,0.997
,,comparative,coil20,pca,2000,9,0.081,0.98,0.98
,,comparative,coil20,pca,2000,6,0.081,0.984,0.985
,,comparative,coil20,pca,2000,7,0.081,0.983,0.984
,,comparative,coil20,pca,2000,5,0.081,0.986,0.987
,,comparative,coil20,pca,2000,10,0.081,0.979,0.978
,,comparative,coil20,pca,2000,8,0.081,0.982,0.982
,,comparative,coil20,pca,2000,13,0.081,0.976,0.972
,,comparative,coil20,pca,2000,11,0.081,0.978,0.976
,,comparative,coil20,pca,2000,15,0.081,0.974,0.969
,,comparative,coil20,pca,2000,12,0.081,0.977,0.974
,,comparative,coil20,pca,2000,14,0.081,0.974,0.971
,,comparative,coil20,pca,2000,9,0.081,0.98,0.98
,,comparative,coil20,pca,2000,6,0.081,0.984,0.985
,,comparative,coil20,pca,2000,7,0.081,0.983,0.984
,,comparative,coil20,pca,2000,5,0.081,0.986,0.987
,,comparative,coil20,pca,2000,10,0.081,0.979,0.978
