dataname;model;n_neighs;points;1-NN;T;C;status;restricted;artificial_connected
swiss;pca;5;1000;0.309;0.877;0.995;None;None;None;None
swiss;pca;6;1000;0.309;0.878;0.994;None;None;None;None
swiss;pca;7;1000;0.309;0.878;0.994;None;None;None;None
swiss;pca;8;1000;0.309;0.877;0.993;None;None;None;None
swiss;pca;9;1000;0.309;0.877;0.993;None;None;None;None
swiss;pca;10;1000;0.309;0.877;0.992;None;None;None;None
swiss;pca;11;1000;0.309;0.878;0.991;None;None;None;None
swiss;pca;12;1000;0.309;0.878;0.991;None;None;None;None
swiss;pca;13;1000;0.309;0.879;0.99;None;None;None;None
swiss;pca;14;1000;0.309;0.879;0.99;None;None;None;None
swiss;pca;15;1000;0.309;0.879;0.989;None;None;None;None
swiss;isomap;5;1000;0.117;0.996;0.998;None;None;None;None
swiss;isomap;6;1000;0.11;0.997;0.998;None;None;None;None
swiss;isomap;7;1000;0.11;0.997;0.998;None;None;None;None
swiss;isomap;8;1000;0.102;0.997;0.998;None;None;None;None
swiss;isomap;9;1000;0.109;0.997;0.998;None;None;None;None
swiss;isomap;10;1000;0.123;0.993;0.996;None;None;None;None
swiss;isomap;11;1000;0.12;0.992;0.996;None;None;None;None
swiss;isomap;12;1000;0.119;0.991;0.996;None;None;None;None
swiss;isomap;13;1000;0.123;0.99;0.996;None;None;None;None
swiss;isomap;14;1000;0.251;0.81;0.982;None;None;None;None
swiss;isomap;15;1000;0.276;0.813;0.983;None;None;None;None
swiss;lle;5;1000;0.203;0.929;0.984;None;None;None;None
swiss;lle;6;1000;0.219;0.924;0.989;None;None;None;None
swiss;lle;7;1000;0.133;0.972;0.994;None;None;None;None
swiss;lle;8;1000;0.165;0.895;0.986;None;None;None;None
swiss;lle;9;1000;0.15;0.931;0.992;None;None;None;None
swiss;lle;10;1000;0.265;0.877;0.996;None;None;None;None
swiss;lle;11;1000;0.313;0.877;0.994;None;None;None;None
swiss;lle;12;1000;0.193;0.887;0.994;None;None;None;None
swiss;lle;13;1000;0.216;0.881;0.993;None;None;None;None
swiss;lle;14;1000;0.21;0.874;0.993;None;None;None;None
swiss;lle;15;1000;0.272;0.868;0.988;None;None;None;None
swiss;le;5;1000;0.22;0.945;0.991;None;None;None;None
swiss;le;6;1000;0.265;0.905;0.988;None;None;None;None
swiss;le;7;1000;0.278;0.892;0.987;None;None;None;None
swiss;le;8;1000;0.315;0.871;0.985;None;None;None;None
swiss;le;9;1000;0.305;0.875;0.984;None;None;None;None
swiss;le;10;1000;0.231;0.914;0.986;None;None;None;None
swiss;le;11;1000;0.249;0.905;0.985;None;None;None;None
swiss;le;12;1000;0.218;0.918;0.986;None;None;None;None
swiss;le;13;1000;0.204;0.921;0.986;None;None;None;None
swiss;le;14;1000;0.205;0.913;0.985;None;None;None;None
swiss;le;15;1000;0.246;0.892;0.983;None;None;None;None
swiss;hlle;5;1000;0.203;0.929;0.984;None;None;None;None
swiss;hlle;6;1000;0.219;0.924;0.989;None;None;None;None
swiss;hlle;7;1000;0.133;0.972;0.994;None;None;None;None
swiss;hlle;8;1000;0.165;0.895;0.986;None;None;None;None
swiss;hlle;9;1000;0.15;0.931;0.992;None;None;None;None
swiss;hlle;10;1000;0.265;0.877;0.996;None;None;None;None
swiss;hlle;11;1000;0.313;0.877;0.994;None;None;None;None
swiss;hlle;12;1000;0.193;0.887;0.994;None;None;None;None
swiss;hlle;13;1000;0.216;0.881;0.993;None;None;None;None
swiss;hlle;14;1000;0.21;0.874;0.993;None;None;None;None
swiss;hlle;15;1000;0.272;0.868;0.988;None;None;None;None
swiss;ltsa.skl;5;1000;0.511;0.492;0.53;None;None;None;None
swiss;ltsa.skl;6;1000;0.499;0.781;0.98;None;None;None;None
swiss;ltsa.skl;7;1000;0.457;0.779;0.979;None;None;None;None
swiss;ltsa.skl;8;1000;0.081;0.998;0.997;None;None;None;None
swiss;ltsa.skl;9;1000;0.081;0.997;0.997;None;None;None;None
swiss;ltsa.skl;10;1000;0.17;0.886;0.991;None;None;None;None
swiss;ltsa.skl;11;1000;0.154;0.878;0.99;None;None;None;None
swiss;ltsa.skl;12;1000;0.177;0.89;0.989;None;None;None;None
swiss;ltsa.skl;13;1000;0.182;0.874;0.988;None;None;None;None
swiss;ltsa.skl;14;1000;0.083;0.882;0.99;None;None;None;None
swiss;ltsa.skl;15;1000;0.176;0.889;0.991;None;None;None;None
helix;pca;5;1000;0.028;0.997;0.999;None;None;None;None
