dataname;model;n_neighs;points;1-NN;T;C;status;restricted;artificial_connected
swiss;pca;"[5, 13, 5]";1000;0.309;0.879;0.995;None;None;None
swiss;isomap;"[8, 6, 5]";1000;0.102;0.997;0.998;None;None;None
swiss;lle;"[7, 7, 10]";1000;0.133;0.972;0.996;None;None;None
swiss;le;"[13, 5, 5]";1000;0.204;0.945;0.991;None;None;None
swiss;hlle;"[7, 7, 10]";1000;0.133;0.972;0.996;None;None;None
swiss;ltsa.skl;"[8, 8, 8]";1000;0.081;0.998;0.997;None;None;None
helix;pca;"[5, 5, 5]";1000;0.028;0.997;0.999;None;None;None
helix;isomap;"[5, 5, 5]";1000;0.008;1.0;1.0;None;None;None
helix;lle;"[8, 6, 6]";1000;0.012;1.0;1.0;None;None;None
helix;le;"[13, 11, 15]";1000;0.015;0.999;0.996;None;None;None
helix;hlle;"[8, 6, 6]";1000;0.012;1.0;1.0;None;None;None
helix;ltsa.skl;"[6, 5, 5]";1000;0.013;1.0;1.0;None;None;None
twinpeaks;pca;"[5, 5, 5]";1000;0.003;0.976;0.99;None;None;None
twinpeaks;isomap;"[10, 6, 6]";1000;0.008;0.992;0.996;None;None;None
twinpeaks;lle;"[9, 13, 8]";1000;0.018;0.986;0.99;None;None;None
twinpeaks;le;"[5, 8, 15]";1000;0.012;0.994;0.991;None;None;None
twinpeaks;hlle;"[9, 13, 8]";1000;0.018;0.986;0.99;None;None;None
twinpeaks;ltsa.skl;"[14, 11, 11]";1000;0.005;0.981;0.991;None;None;None
broken.swiss;pca;"[5, 5, 5]";2000;0.299;0.962;0.998;None;None;None
broken.swiss;isomap;"[9, 6, 5]";2000;0.16;0.936;0.993;None;None;None
broken.swiss;lle;"[5, 9, 9]";2000;0.391;0.812;0.983;None;None;None
broken.swiss;le;"[5, 6, 6]";2000;0.445;0.726;0.872;None;None;None
broken.swiss;hlle;"[5, 7, 7]";2000;0.389;0.806;0.984;None;None;None
broken.swiss;ltsa.skl;"[6, 6, 6]";2000;0.431;0.661;0.873;None;None;None
broken.swiss;isomap.eng;"[5, 5, 5]";2000;0.228;0.967;0.999;None;None;None
broken.swiss;lle.eng;"[7, 9, 8]";2000;0.2;0.966;0.998;None;None;None
broken.swiss;le.eng;"[14, 5, 5]";2000;0.216;0.981;0.998;None;None;None
broken.swiss;hlle.eng;"[7, 9, 8]";2000;0.2;0.966;0.998;None;None;None
broken.swiss;none;"[1, 1, 1]";2000;0.035;None;None;None;None;None
broken.swiss;mvu.based;"[9, 7, 5]";2000;0.035;1.0;1.0;None;None;None
broken.swiss;mvu;"[8, 8, 7]";2000;0.036;1.0;1.0;None;None;None
difficult;pca;"[5, 5, 5]";1024;0.386;0.996;0.998;None;None;None
difficult;isomap;"[12, 15, 15]";1024;0.348;0.987;0.993;None;None;None
difficult;lle;"[14, 15, 12]";1024;0.418;0.968;0.982;None;None;None
difficult;le;"[6, 5, 15]";1024;0.349;0.923;0.907;None;None;None
difficult;hlle;"[14, 15, 12]";1024;0.418;0.968;0.982;None;None;None
difficult;ltsa.skl;"[14, 15, 15]";1024;0.457;0.965;0.989;None;None;None
difficult;mvu.based;"[14, 14, 14]";1024;0.30859;0.999;1.0;None;None;None
difficult;mvu;"[14, 14, 14]";1024;0.30859;0.999;1.0;None;None;None
coil20;pca;"[5, 5, 5]";1440;0.051;0.993;0.997;None;None;None
coil20;isomap;"[8, 13, 5]";1440;0.083;0.979;0.995;None;None;None
coil20;lle;"[7, 15, 5]";1440;0.088;0.938;0.979;None;None;None
coil20;le;"[15, 15, 15]";1440;0.155;0.963;0.99;None;None;None
coil20;hlle;"[6, 13, 6]";1440;0.104;0.944;0.981;None;None;None
coil20;ltsa.skl;"[7, 15, 15]";1440;0.069;0.936;0.978;None;None;None
coil20;none;"[1, 1, 1]";1440;0.001;None;None;None;None;None
coil20;isomap.eng;"[8, 12, 5]";1440;0.084;0.979;0.995;None;None;None
coil20;lle.eng;"[15, 15, 15]";1440;0.178;0.944;0.974;None;None;None
